match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
0fd085bd,Aston Villa,Ezri Konsa,4,ENG,CB,27-174,90,1,0,0,0,2,1,0,0,53,3,0,2,0.5,0.5,0.0,3,0,36,42,85.7,3,22,0,0,0
0fd085bd,Aston Villa,Matty Cash,2,POL,RB,27-251,90,0,0,0,0,0,0,0,0,41,5,1,2,0.0,0.0,0.1,3,0,22,29,75.9,0,12,3,4,2
0fd085bd,Aston Villa,Emiliano Martínez,23,ARG,GK,32-225,90,0,0,0,0,0,0,0,0,35,0,1,0,0.0,0.0,0.0,1,1,20,31,64.5,0,20,0,0,0
0fd085bd,Paris S-G,Ousmane Dembélé,10,FRA,FW,27-335,90,0,1,0,0,3,2,0,0,54,0,0,0,0.3,0.3,0.2,3,1,40,47,85.1,2,29,6,1,1
0fd085bd,Paris S-G,Bradley Barcola,29,FRA,LW,22-225,57,0,0,0,0,0,0,0,0,30,3,0,1,0.0,0.0,0.1,2,0,18,21,85.7,1,21,1,5,0
0fd085bd,Paris S-G,Désiré Doué,14,FRA,RW,19-316,33,0,0,0,0,1,1,0,0,22,3,0,4,0.1,0.1,0.2,4,0,9,10,90.0,2,13,3,4,1
0fd085bd,Paris S-G,Khvicha Kvaratskhelia,7,GEO,"RW,LW",24-062,90,0,0,0,0,3,0,0,0,54,0,0,0,0.1,0.1,0.2,2,0,37,40,92.5,1,34,1,4,1
0fd085bd,Paris S-G,Fabián Ruiz Peña,8,ESP,LM,29-012,90,0,0,0,0,1,1,0,0,71,5,2,0,0.2,0.2,0.2,5,0,58,64,90.6,6,38,1,1,0
0fd085bd,Paris S-G,Vitinha,17,POR,CM,25-061,90,0,0,0,0,1,0,0,0,91,0,2,0,0.0,0.0,0.0,1,0,78,87,89.7,8,57,2,0,0
0fd085bd,Paris S-G,João Neves,87,POR,RM,20-200,90,0,0,0,0,0,0,0,0,80,3,1,4,0.0,0.0,0.1,3,0,58,62,93.5,2,33,1,2,1
0fd085bd,Paris S-G,Nuno Mendes,25,POR,LB,22-300,90,1,0,0,0,2,1,0,0,91,3,2,1,0.3,0.3,0.0,0,0,64,79,81.0,5,47,0,1,0
0fd085bd,Paris S-G,Willian Pacho,51,ECU,CB,23-181,90,0,0,0,0,0,0,0,0,66,3,1,1,0.0,0.0,0.0,0,0,49,57,86.0,0,32,0,0,0
0fd085bd,Paris S-G,Marquinhos,5,BRA,CB,30-336,90,0,0,0,0,0,0,0,0,89,2,0,1,0.0,0.0,0.0,1,0,61,70,87.1,2,46,0,1,0
0fd085bd,Paris S-G,Achraf Hakimi,2,MAR,RB,26-162,90,1,0,0,0,3,2,0,0,81,2,1,0,0.6,0.6,0.1,4,1,61,68,89.7,4,40,3,4,2
0fd085bd,Paris S-G,Gianluigi Donnarumma,1,ITA,GK,26-049,90,0,0,0,0,0,0,0,0,37,0,0,0,0.0,0.0,0.0,0,0,22,32,68.8,0,11,0,0,0
