match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
93b1eab0,Paris S-G,Gonçalo Ramos,9,POR,FW,23-159,19,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,1,0,2,4,50.0,0,1,0,0,0
93b1eab0,Paris S-G,Ousmane Dembélé,10,FRA,FW,27-195,55,0,0,0,0,5,2,2,1,20,1,1,0,0.3,0.3,0.0,1,0,4,12,33.3,0,15,6,0,0
93b1eab0,Paris S-G,Fabián Ruiz Peña,8,ESP,LM,28-237,82,0,0,0,0,1,0,1,0,38,4,0,0,0.0,0.0,0.3,4,0,25,29,86.2,3,16,2,0,0
93b1eab0,Paris S-G,Marco Asensio,11,ESP,LM,28-310,8,0,0,0,0,0,0,0,0,5,0,1,0,0.0,0.0,0.0,0,0,2,3,66.7,0,3,0,0,0
93b1eab0,Paris S-G,João Neves,87,POR,CM,20-060,90,0,0,0,0,3,1,0,0,63,5,1,1,0.1,0.1,0.0,1,0,39,48,81.3,2,29,1,2,1
93b1eab0,Paris S-G,Vitinha,17,POR,CM,24-287,90,0,0,0,0,0,0,0,0,73,2,1,1,0.0,0.0,0.0,2,0,60,65,92.3,2,41,0,3,2
93b1eab0,Paris S-G,Warren Zaïre-Emery,33,FRA,RM,18-263,64,0,0,0,0,1,0,0,0,42,1,0,1,0.1,0.1,0.0,2,0,22,30,73.3,5,22,1,1,0
93b1eab0,Paris S-G,Lee Kang-in,19,KOR,RM,23-281,26,0,0,0,0,0,0,0,0,17,1,0,0,0.0,0.0,0.3,1,0,13,16,81.3,2,9,0,1,1
93b1eab0,Paris S-G,Nuno Mendes,25,POR,LB,22-160,90,0,0,0,0,1,0,1,0,71,5,2,0,0.3,0.3,0.0,2,0,32,48,66.7,4,35,4,8,5
93b1eab0,Paris S-G,Willian Pacho,51,ECU,CB,23-041,90,0,0,0,0,0,0,0,0,60,4,2,3,0.0,0.0,0.1,1,0,37,43,86.0,1,28,0,1,1
93b1eab0,Paris S-G,Marquinhos,5,BRA,CB,30-196,90,0,0,0,0,0,0,0,0,60,0,0,4,0.0,0.0,0.0,0,0,38,43,88.4,1,27,0,1,0
93b1eab0,Paris S-G,Achraf Hakimi,2,MAR,RB,26-022,90,0,0,0,0,0,0,1,0,81,1,1,1,0.0,0.0,0.1,2,0,56,68,82.4,2,43,1,3,1
93b1eab0,Paris S-G,Matvei Safonov,39,RUS,GK,25-275,90,0,0,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.0,0,0,17,35,48.6,0,19,0,0,0
